Название планеты,Тип планеты,Диаметр (км),Масса (10^24 кг),Расстояние до Солнца (млн км),Количество спутников,Температура поверхности (°C)
Меркурий,Террестриальная,4879,0.33,57.9,0,167
Венера,Террестриальная,12104,4.87,108.2,0,464
Земля,Террестриальная,12742,5.97,149.6,1,15
Марс,Террестриальная,6779,0.64,227.9,2,-65
Юпитер,Газовый гигант,139820,1898.0,778.5,79,-110
Сатурн,Газовый гигант,116460,568.0,1433.5,83,-140
Уран,Ледяной гигант,50724,86.8,2872.5,27,-195
Нептун,Ледяной гигант,49244,102.0,4495.1,14,-200
